Manufacturer;Name;Number of Rollers;FTF;BSF;BPFO;BPFI
AMI;201;8;0.383;2.025;3.066;4.934
AMI;202;8;0.383;2.025;3.066;4.934
AMI;203;8;0.383;2.025;3.066;4.934
AMI;204;8;0.383;2.025;3.066;4.934
AMI;205;9;0.398;2.355;3.584;5.416
AMI;206;9;0.398;2.339;3.578;5.422
AMI;207;9;0.396;2.303;3.565;5.435
AMI;208;9;0.401;2.42;3.607;5.393
AMI;209;9;0.402;2.461;3.621;5.379
AMI;210;10;0.409;2.665;4.093;5.907
AMI;211;10;0.409;2.649;4.088;5.912
AMI;212;10;0.408;2.633;4.082;5.918
AMI;213;10;0.41;2.685;4.099;5.901
AMI;214;10;0.41;2.702;4.104;5.896
AMI;215;10;0.412;2.746;4.118;5.882
AMI;216;10;0.413;2.801;4.134;5.866
AMI;217;10;0.412;2.759;4.122;5.878
AMI;218;10;0.411;2.723;4.111;5.889
AMI;305;7;0.372;1.83;2.606;4.394
AMI;306;8;0.386;2.069;3.084;4.916
AMI;307;8;0.384;2.033;3.069;4.931
AMI;308;8;0.385;2.067;3.083;4.917
AMI;309;8;0.387;2.107;3.099;4.901
AMI;310;8;0.383;2.022;3.065;4.935
AMI;311;8;0.383;2.028;3.067;4.933
AMI;312;8;0.384;2.044;3.074;4.926
AMI;313;8;0.384;2.036;3.071;4.929
AMI;314;8;0.385;2.05;3.076;4.924
AMI;315;8;0.385;2.062;3.081;4.919
AMI;316;8;0.387;2.097;3.095;4.905
AMI;317;8;0.386;2.083;3.089;4.911
AMI;318;8;0.388;2.115;3.102;4.898
AMI;319;8;0.388;2.123;3.105;4.895
AMI;320;8;0.385;2.065;3.083;4.917
AMI;321;8;0.385;2.05;3.076;4.924
AMI;322;8;0.384;2.039;3.072;4.928
AMI;324;8;0.391;2.193;3.131;4.869
AMI;326;8;0.392;2.198;3.133;4.867
AMI;328;8;0.392;2.201;3.134;4.866
AMI;B1;8;0.384;2.033;3.069;4.931
AMI;B2;8;0.384;2.033;3.069;4.931
AMI;B3;8;0.384;2.033;3.069;4.931
AMI;B4;8;0.383;2.025;3.066;4.934
AMI;B5;9;0.398;2.355;3.584;5.416
AMI;B6;9;0.398;2.339;3.578;5.422
AMI;B7;9;0.396;2.303;3.565;5.435
AMI;B8;9;0.401;2.42;3.607;5.393
AMI;W201;8;0.384;2.033;3.069;4.931
AMI;W202;8;0.384;2.033;3.069;4.931
AMI;W203;8;0.384;2.033;3.069;4.931
AMI;X05;9;0.398;2.339;3.578;5.422
AMI;X06;9;0.396;2.303;3.565;5.435
AMI;X07;9;0.401;2.42;3.607;5.393
AMI;X08;9;0.402;2.461;3.621;5.379
AMI;X09;10;0.409;2.665;4.093;5.907
AMI;X10;10;0.409;2.649;4.088;5.912
AMI;X11;10;0.408;2.633;4.082;5.918
AMI;X12;10;0.41;2.685;4.099;5.901
AMI;X13;10;0.41;2.702;4.104;5.896
AMI;X14;10;0.412;2.755;4.121;5.879
AMI;X15;10;0.413;2.801;4.134;5.866
AMI;X16;10;0.412;2.759;4.122;5.878
AMI;X17;10;0.411;2.723;4.111;5.889
AMI;X18;10;0.411;2.718;4.109;5.891
AMI;X20;10;0.409;2.67;4.094;5.906
AND;2.25;10;0.00001;2.62;4.0782;5.9218
AND;3;11;0.00001;2.8497;4.563;6.437
AND;4.38;19;0.00001;5.8576;8.6949;10.3051
AND;6.75;24;0.00001;6.9364;11.1394;12.8606
AND;8.75;25;0.00001;6.7431;11.5782;13.4218
ARB;SCS1238A;18;0.451;10.104;8.118;9.882
BARDEN;220H;15;0.412;2.671;6.185;8.814
Browning;VPS-235;10;0.408;2.622;4.08;5.922
CAT;154-3032;8;0.38;1.59;3.47;4.52
CONSOLIDATED;NN-3011 MS P/5;22;0.4448;4.4736;9.7867;12.2133
COOPER;01 B 1000-260M;26;0.455;5.455;11.818;14.182
COOPER;01 B 110M;16;0.43;3.501;6.88;9.12
COOPER;01 B 115M;16;0.43;3.501;6.88;9.12
COOPER;01 B 120M;16;0.432;3.599;6.909;9.091
COOPER;01 B 125M;16;0.432;3.599;6.909;9.091
COOPER;01 B 1300-340M;26;0.458;5.91;11.908;14.092
COOPER;01 B 130M;16;0.432;3.599;6.909;9.091
COOPER;01 B 135M;16;0.433;3.683;6.933;9.067
COOPER;01 B 1400-360M;28;0.461;6.294;12.895;15.105
COOPER;01 B 140M;16;0.433;3.683;6.933;9.067
COOPER;01 B 150M;18;0.438;3.938;7.875;10.125
COOPER;01 B 155M;18;0.438;3.938;7.875;10.125
COOPER;01 B 160M;18;0.438;3.997;7.891;10.109
COOPER;01 B 170M;20;0.442;4.236;8.836;11.164
COOPER;01 B 175M;20;0.442;4.236;8.836;11.164
COOPER;01 B 180M;20;0.442;4.236;8.836;11.164
COOPER;01 B 190M;22;0.448;4.712;9.846;12.154
COOPER;01 B 200M;22;0.448;4.712;9.846;12.154
COOPER;01 B 220M;22;0.45;4.95;9.9;12.1
COOPER;01 B 230M;22;0.45;4.95;9.9;12.1
COOPER;01 B 240M;26;0.455;5.455;11.818;14.182
COOPER;01 B 250M;26;0.455;5.455;11.818;14.182
COOPER;01 B 260M;24;0.454;5.354;10.889;13.111
COOPER;01 B 270M;24;0.454;5.354;10.889;13.111
COOPER;01 B 275M;24;0.454;5.354;10.889;13.111
COOPER;01 B 280M;24;0.454;5.354;10.889;13.111
COOPER;01 B 290M;26;0.457;5.807;11.889;14.111
COOPER;01 B 300M;26;0.457;5.807;11.889;14.111
COOPER;01 B 320M;26;0.458;5.91;11.908;14.092
COOPER;01 B 330M;26;0.458;5.91;11.908;14.092
COOPER;01 B 340M;28;0.461;6.294;12.895;15.105
COOPER;01 B 350M;28;0.461;6.294;12.895;15.105
COOPER;01 B 35M;10;0.405;2.538;4.051;5.949
COOPER;01 B 360M;28;0.461;6.416;12.915;15.085
COOPER;01 B 380M;28;0.461;6.416;12.915;15.085
COOPER;01 B 390M;30;0.463;6.782;13.9;16.1
COOPER;01 B 400M;30;0.463;6.782;13.9;16.1
COOPER;01B407;16;0.43;3.503;6.88;9.12
COOPER;01 B 407;16;0.43;4.251;6.88;9.12
COOPER;01 B 40M;10;0.405;2.538;4.051;5.949
COOPER;01 B 420M;32;0.465;7.147;14.886;17.114
COOPER;01 B 440M;34;0.467;7.512;15.873;18.127
COOPER;01 B 460M;34;0.467;7.512;15.873;18.127
COOPER;01 B 480M;32;0.467;7.576;14.949;17.051
COOPER;01 B 500M;34;0.469;7.925;15.932;18.068
COOPER;01 B 530M;36;0.47;8.362;16.927;19.073
COOPER;01 B 560M;38;0.471;8.711;17.913;20.087
COOPER;01 B 580M;38;0.471;8.721;17.914;20.086
COOPER;01 B 600-160M;18;0.438;3.938;7.875;10.125
COOPER;01 B 600M;40;0.472;9.056;18.899;21.101
COOPER;01 B 608-170M;18;0.438;3.997;7.891;10.109
COOPER;01E B 100M;16;0.422;3.138;6.756;9.244
COOPER;01E B 105M;16;0.422;3.138;6.756;9.244
COOPER;01E B 315;16;0.422;3.188;6.756;9.244
COOPER;01E B 45M;12;0.415;2.857;4.98;7.02
COOPER;01E B 50M;12;0.415;2.857;4.98;7.02
COOPER;01E B 55M;14;0.417;2.934;5.84;8.16
COOPER;01E B 60M;14;0.417;2.934;5.84;8.16
COOPER;01E B 65M;14;0.417;2.934;5.84;8.16
COOPER;01E B 70M;14;0.42;3.053;5.883;8.16
COOPER;01E B 75M;14;0.42;3.053;5.883;8.117
COOPER;01E B 80M;16;0.423;3.187;6.774;9.226
COOPER;01E B 85M;16;0.423;3.187;6.774;9.226
COOPER;01E B 90M;16;0.423;3.187;6.774;9.226
COOPER;01E B 95M;16;0.422;3.138;6.756;9.244
COOPER;01EBCP215EXAT;14;0.42;3.053;5.883;8.117
COOPER;01EBCP215GRAT;14;0.42;3.053;5.883;8.117
COOPER;02 B 100M;14;0.417;2.917;5.833;8.167
COOPER;02 B 105M;14;0.417;2.917;5.833;8.167
COOPER;02 B 110M;14;0.417;2.917;5.833;8.167
COOPER;02 B 115M;14;0.417;2.917;5.833;8.167
COOPER;02 B 120M;14;0.417;2.917;5.833;8.167
COOPER;02 B 125M;14;0.417;2.917;5.833;8.167
COOPER;02 B 130M;14;0.417;2.917;5.833;8.167
COOPER;02 B 140M;14;0.419;3.014;5.869;8.131
COOPER;02 B 145M;14;0.419;3.014;5.869;8.131
COOPER;02 B 150M;16;0.421;3.103;6.743;9.257
COOPER;02 B 155M;16;0.421;3.103;6.743;9.257
COOPER;02 B 160M;14;0.421;3.088;5.895;8.105
COOPER;02 B 170M;14;0.421;3.088;5.895;8.105
COOPER;02 B 175M;16;0.425;3.258;6.8;9.2
COOPER;02 B 180M;16;0.425;3.258;6.8;9.2
COOPER;02 B 190M;16;0.428;3.389;6.844;9.156
COOPER;02 B 200M;16;0.428;3.389;6.844;9.156
COOPER;02 B 220M;18;0.434;3.703;7.806;10.194
COOPER;02 B 230M;18;0.434;3.703;7.806;10.194
COOPER;02 B 240M;18;0.435;3.792;7.833;10.167
COOPER;02 B 250M;18;0.435;3.792;7.833;10.167
COOPER;02 B 260M;18;0.435;3.792;7.833;10.167
COOPER;02 B 280M;18;0.436;3.836;7.846;10.154
COOPER;02 B 300M;20;0.44;4.14;8.81;11.19
COOPER;02 B 320M;20;0.443;4.297;8.852;11.148
COOPER;02 B 330M;20;0.443;4.297;8.852;11.148
COOPER;02 B 340M;20;0.443;4.337;8.862;11.138
COOPER;02 B 350M;20;0.443;4.337;8.862;11.138
COOPER;02 B 360M;20;0.443;4.337;8.862;11.138
COOPER;02 B 380M;22;0.446;4.552;9.806;12.194
COOPER;02 B 400M;22;0.447;4.682;9.839;12.161
COOPER;02 B 403;14;0.417;2.917;5.833;8.167
COOPER;02 B 420M;22;0.449;4.806;9.868;12.132
COOPER;02 B 440M;24;0.451;5.008;10.814;13.186
COOPER;02 B 460M;24;0.451;5.008;10.814;13.186
COOPER;02 B 480M;26;0.453;5.267;11.777;14.223
COOPER;02 B 500M;28;0.455;5.469;12.731;15.269
COOPER;02 B 50M;10;0.402;2.452;4.02;5.98
COOPER;02 B 530M;26;0.453;5.322;11.789;14.211
COOPER;02 B 560M;28;0.455;5.561;12.751;15.249
COOPER;02 B 580M;30;0.461;6.432;13.841;16.159
COOPER;02 B 600-160M;16;0.421;3.103;6.743;9.257
COOPER;02 B 600M;30;0.458;5.958;13.75;16.25
COOPER;02 B 60M;12;0.411;2.73;4.936;7.064
COOPER;02 B 65M;12;0.411;2.73;4.936;7.064
COOPER;02 B 70M;12;0.411;2.719;4.932;7.068
COOPER;02 B 75M;12;0.411;2.719;4.932;7.068
COOPER;02 B 80M;14;0.417;2.917;5.833;8.167
COOPER;02 B 85M;14;0.417;2.917;5.833;8.167
COOPER;02 B 90M;14;0.417;2.917;5.833;8.167
COOPER;02 BC 315 EXAT;14;0.417;2.917;5.833;8.167
COOPER;02 BC 407 EXAT;14;0.417;2.918;5.834;8.166
